GeneID,Ensembl_ID,CPM_TUMOR,CPM_SPLEEN
MORC2-AS1,ENSG00000235989,0.302840003,2.114822793
VPS52,ENSG00000236014,24.83288027,29.0788134
TMEM147-AS1,ENSG00000236144,2.422720026,3.398822346
KDM4A-AS1,ENSG00000236200,3.028400033,1.283999553
ZBED5,ENSG00000236287,34.32186704,45.99739575
NFKBIL1,ENSG00000236346,26.64992029,25.52893229
VLDLR-AS1,ENSG00000236404,0.807573342,2.190352178
HLA-DQA1,ENSG00000236418,142.2338549,52.87056982
LINC02195,ENSG00000236481,17.56472019,0.981882011
LINC00896,ENSG00000236499,0.302840003,2.49246972
ZBTB9,ENSG00000236515,2.523666694,3.700939888
PITPNA-AS1,ENSG00000236618,24.32814693,30.89151865
HLA-DPB1,ENSG00000236693,339.4836437,342.5257631
INTS6-AS1,ENSG00000236778,9.388040101,5.966821452
LINC00299,ENSG00000236790,3.835973375,10.64964335
ELOA-AS1,ENSG00000236810,4.744493385,3.021175419
NRM,ENSG00000236843,57.53960062,47.58351284
NIFK-AS1,ENSG00000236859,12.41644013,19.18446391
ZEB1-AS1,ENSG00000237036,6.864373407,9.214585026
CDKN2AIPNL,ENSG00000237190,58.8519073,40.33269184
ZNF295-AS1,ENSG00000237232,1.81704002,0
LINC00987,ENSG00000237248,2.321773358,2.039293407
TRBV30,ENSG00000237254,54.20836058,131.874307
FOXD2-AS1,ENSG00000237424,1.110413345,2.341410949
ZNF737,ENSG00000237440,7.873840085,12.9910543
LINC01684,ENSG00000237484,2.321773358,4.229645586
C10orf143,ENSG00000237489,8.681413427,9.81882011
C2orf74,ENSG00000237651,38.86446709,45.77080759
TRBV3-1,ENSG00000237702,99.93720108,92.07032088
FAM200B,ENSG00000237765,48.45440052,64.9552715
RGL2,ENSG00000237825,18.67513353,29.15434279
DGUOK-AS1,ENSG00000237883,5.047333388,1.963764022
LINC00649,ENSG00000237945,50.57428055,115.1067834
LINC01679,ENSG00000237989,2.119880023,0.679764469
LINC01410,ENSG00000238113,1.009466678,2.039293407
LINC00426,ENSG00000238121,16.85809352,23.33858011
TMEM250,ENSG00000238227,53.29984057,76.96444379
NCK1-DT,ENSG00000239213,13.93064015,23.03646257
TXNDC5,ENSG00000239264,36.9464804,22.05458056
RNF103,ENSG00000239305,15.6467335,13.67081877
RBM14,ENSG00000239306,27.15465363,27.94587262
LLPH-DT,ENSG00000239335,0.90852001,2.039293407
ALKBH6,ENSG00000239382,46.23357383,47.96115977
KMT2E-AS1,ENSG00000239569,36.23985372,38.4444572
PSMD6-AS2,ENSG00000239653,2.523666694,3.021175419
NME1,ENSG00000239672,119.5208546,59.2150382
APOBEC3G,ENSG00000239713,539.3580458,322.132829
GET4,ENSG00000239857,71.97497411,63.59574256
ADSL,ENSG00000239900,126.1833347,107.8559624
PRKAG2-AS1,ENSG00000239911,8.479520091,2.49246972
AMY2B,ENSG00000240038,0.605680007,1.66164648
ERICH6-AS1,ENSG00000240137,5.148280056,3.172234189
SMKR1,ENSG00000240204,4.03786671,5.135998211
GHRLOS,ENSG00000240288,0.706626674,2.49246972
ACAD11,ENSG00000240303,8.98425343,5.513645139
PPIL3,ENSG00000240344,62.88977401,51.28445273
CDKN2B-AS1,ENSG00000240498,6.258693401,5.438115753
ISY1,ENSG00000240682,70.96550743,75.52938546
RDH14,ENSG00000240857,23.52057359,32.62869452
PLCXD2,ENSG00000240891,21.9054269,16.46540603
MIF,ENSG00000240972,1338.552814,876.2919301
NSUN6,ENSG00000241058,22.00637357,31.79787128
LINC00881,ENSG00000241135,1.81704002,0.226588156
CRCP,ENSG00000241258,40.68150711,50.3781001
RPL36A,ENSG00000241343,313.6412967,257.1020281
ARPC4,ENSG00000241553,165.0478018,195.3945202
TRBV11-2,ENSG00000241657,73.59012079,45.31763128
ARPC1A,ENSG00000241685,3.634080039,6.268938993
RPP21,ENSG00000241779,75.81094748,83.23338278
PLEKHO2,ENSG00000241839,7.571000082,18.2025819
C8orf58,ENSG00000241852,5.552066727,3.851998659
PISD,ENSG00000241878,25.64045361,21.45034547
PWP2,ENSG00000241945,10.29656011,8.610349943
PI4KA,ENSG00000241973,46.43546717,68.35409384
HYPK,ENSG00000242028,5.955853398,7.552938546
AMACR,ENSG00000242110,12.61833347,10.72517274
MTFP1,ENSG00000242114,71.97497411,41.01245631
ARFGAP3,ENSG00000242247,78.63745418,90.55973317
LINC00996,ENSG00000242258,7.974786753,2.719057877
C22orf39,ENSG00000242259,77.72893417,89.65338054
PEG10,ENSG00000242265,1.514200016,0.151058771
EIF6,ENSG00000242372,168.1771485,152.644888
GNG10,ENSG00000242616,67.23048073,59.13950882
EIF4EBP3,ENSG00000243056,2.422720026,2.719057877
MICAL3,ENSG00000243156,13.02212014,15.71011218
STON1,ENSG00000243244,8.580466759,15.78564156
KCTD7,ENSG00000243335,20.08838688,63.14256625
EFNA4,ENSG00000243364,5.753960062,6.722115306
TICAM2,ENSG00000243414,3.1293467,2.114822793
NAA80,ENSG00000243477,27.96222697,19.10893452
IL10RB,ENSG00000243646,42.70044046,55.96727463
ZNF487,ENSG00000243660,7.167213411,10.57411396
NME2,ENSG00000243678,761.7435549,562.6183923
DUBR,ENSG00000243701,1.110413345,1.586117095
CFAP57,ENSG00000243710,3.835973375,0
TTC4,ENSG00000243725,18.57418687,21.52587486
TMEM35B,ENSG00000243749,111.7479612,152.644888
JMJD7,ENSG00000243789,5.451120059,4.1541162
TIPARP-AS1,ENSG00000243926,5.85490673,5.513645139
MRPS6,ENSG00000243927,464.3546717,338.2205881
ZNF512,ENSG00000243943,20.18933355,29.83410726
PSMB9,ENSG00000243958,645.654887,742.7559766
ACY1,ENSG00000243989,21.40069356,12.76446614
DDOST,ENSG00000244038,273.6664163,234.9719182
LINC01011,ENSG00000244041,2.523666694,4.909410055
P2RY11,ENSG00000244165,15.3438935,20.01528715
DBNDD2,ENSG00000244274,21.70353357,20.31740469
RBM12,ENSG00000244462,26.24613362,33.38398837
APOBEC3C,ENSG00000244509,264.6821629,194.563697
MIATNB,ENSG00000244625,13.72874681,20.69505162
UBE2V1,ENSG00000244687,274.5749363,228.7785086
N4BP2L2,ENSG00000244754,167.1676818,268.2048478
GABPB1-AS1,ENSG00000244879,61.678414,77.4176201
LINC00847,ENSG00000245060,20.69406689,24.16940335
A2M-AS1,ENSG00000245105,0.201893336,3.625410502
SMARCA5-AS1,ENSG00000245112,8.782360095,9.81882011
LINC00861,ENSG00000245164,8.883306762,138.0677166
SAP30L-AS1,ENSG00000245275,1.716093352,3.021175419
NEAT1,ENSG00000245532,480.0014052,839.3580606
RORA-AS1,ENSG00000245534,3.028400033,1.737175866
SCAMP1-AS1,ENSG00000245556,10.80129345,12.83999553
FAM111A-DT,ENSG00000245571,9.287093434,17.97599374
DDX11-AS1,ENSG00000245614,2.018933355,1.132940782
ZNF585B,ENSG00000245680,3.835973375,8.006114859
CRNDE,ENSG00000245694,8.378573424,4.531763128
DRAIC,ENSG00000245750,3.1293467,6.797644692
CEBPA,ENSG00000245848,2.119880023,1.888234637
LINC02273,ENSG00000245954,1.413253349,4.909410055
LINC02325,ENSG00000246084,1.413253349,4.456233742
LINC01550,ENSG00000246223,18.1704002,28.70116648
SBF2-AS1,ENSG00000246273,3.634080039,5.740233295
UBAP1L,ENSG00000246922,0.504733339,1.963764022
SNHG10,ENSG00000247092,11.40697346,9.516702568
ZBED5-AS1,ENSG00000247271,9.488986769,8.383761786
ZCCHC3,ENSG00000247315,17.36282685,27.79481385
DNAJC3-DT,ENSG00000247400,3.230293368,4.531763128
MIR4458HG,ENSG00000247516,1.716093352,2.567999106
MARS2,ENSG00000247626,6.460586736,7.628467932
USP51,ENSG00000247746,1.110413345,1.888234637
NRAV,ENSG00000248008,3.533133371,4.682821899
FAM13A-AS1,ENSG00000248019,1.211360013,3.247763575
NNT-AS1,ENSG00000248092,16.25241351,23.18752134
BCKDHA,ENSG00000248098,54.81404059,44.56233742
CDK11B,ENSG00000248333,92.06336099,106.194316
POU5F2,ENSG00000248483,2.018933355,3.096704804
LINC02100,ENSG00000248693,1.615146684,4.758351284
ACTN3,ENSG00000248746,3.1293467,2.870116648
HAUS5,ENSG00000249115,26.14518695,21.14822793
LINC02265,ENSG00000249241,1.514200016,2.341410949
UGDH-AS1,ENSG00000249348,1.917986687,0.906352626
ZNF286B,ENSG00000249459,5.249226723,6.268938993
ZNF324B,ENSG00000249471,2.119880023,2.794587262
NOP14-AS1,ENSG00000249673,30.18305366,19.86422838
PVT1,ENSG00000249859,36.6436404,28.39904893
TRGV7,ENSG00000249978,2.725560029,10.12093765
TMEM158,ENSG00000249992,1.312306681,1.586117095
YJEFN3,ENSG00000250067,0.807573342,2.870116648
ZNF718,ENSG00000250312,8.681413427,16.23881787
SMIM20,ENSG00000250317,33.71618703,28.47457832
CHCHD10,ENSG00000250479,149.1991749,127.7957202
CDK3,ENSG00000250506,1.312306681,1.963764022
ATP6V1E2,ENSG00000250565,5.047333388,8.761408714
GMDS-DT,ENSG00000250903,18.1704002,31.72234189
SNHG21,ENSG00000250988,9.388040101,10.34752581
THAP9-AS1,ENSG00000251022,9.488986769,8.761408714
ZNF674,ENSG00000251192,1.716093352,4.305174971
ZNF345,ENSG00000251247,4.542600049,6.948703463
LINC02384,ENSG00000251301,9.993720108,35.49881117
ZNF550,ENSG00000251369,3.936920042,11.32940782
CENPS-CORT,ENSG00000251503,15.84862684,9.894349496
MALAT1,ENSG00000251562,12001.65028,19706.82514
LINC02482,ENSG00000251580,8.580466759,7.250821004
C8orf88,ENSG00000253250,4.138813378,3.021175419
SHLD3,ENSG00000253251,3.735026707,3.776469273
CCDC71L,ENSG00000253276,34.22092037,27.19057877
TRBV7-7,ENSG00000253291,9.89277344,6.571056535
TRBV7-4,ENSG00000253409,3.835973375,2.190352178
PCAT1,ENSG00000253438,2.927453365,7.779526703
LINC02099,ENSG00000253490,16.05052017,0.075529385
MIR3142HG,ENSG00000253522,18.37229353,13.74634815
OSGEPL1-AS1,ENSG00000253559,1.514200016,1.812705251
GASAL1,ENSG00000253669,2.725560029,1.586117095
ALG11,ENSG00000253710,15.54578683,17.97599374
MINCR,ENSG00000253716,8.378573424,5.891292066
ATXN7L3B,ENSG00000253719,64.00018736,83.30891217
OTUD6B-AS1,ENSG00000253738,38.86446709,55.51409832
ZNF260,ENSG00000254004,9.287093434,16.23881787
LYN,ENSG00000254087,13.22401348,24.47152089
CD8B2,ENSG00000254126,21.6025869,29.15434279
AP5B1,ENSG00000254470,6.359640069,7.250821004
SIGLEC12,ENSG00000254521,1.81704002,0.377646927
WAC-AS1,ENSG00000254635,55.11688059,47.13033653
FPGT,ENSG00000254685,3.432186704,6.117880222
SENCR,ENSG00000254703,1.110413345,2.870116648
EEF1G,ENSG00000254772,763.5605949,604.68826
CKLF-CMTM1,ENSG00000254788,2.826506697,2.416940335
MPV17L2,ENSG00000254858,18.37229353,15.55905341
TMEM9B-AS1,ENSG00000254860,1.514200016,0.755293855
DPP3,ENSG00000254986,109.0224012,67.14562368
ANKHD1-EIF4EBP3,ENSG00000254996,2.927453365,6.268938993
CHMP1B,ENSG00000255112,63.29356068,39.57739798
EID3,ENSG00000255150,12.01265346,9.969878881
HTD2,ENSG00000255154,4.138813378,8.459291172
SMIM35,ENSG00000255274,0.100946668,1.737175866
EID1,ENSG00000255302,508.6702588,423.2666761
EBLN2,ENSG00000255423,2.018933355,2.719057877
POLR2M,ENSG00000255529,31.59630701,29.45646033
FDXACB1,ENSG00000255561,1.917986687,2.265881564
TRAV1-1,ENSG00000255569,2.927453365,11.48046659
KLRC4-KLRK1,ENSG00000255819,1.211360013,1.963764022
PXN-AS1,ENSG00000255857,13.12306681,10.64964335
LINC02446,ENSG00000256039,220.0637357,111.3303142
TRAPPC2B,ENSG00000256060,23.82341359,21.2992867
URB1-AS1,ENSG00000256073,7.974786753,5.815762681
ZNF432,ENSG00000256087,6.460586736,7.779526703
LINC00944,ENSG00000256128,7.066266743,8.761408714
ZNF10,ENSG00000256223,14.94010683,13.67081877
ZNF486,ENSG00000256229,4.03786671,5.891292066
SMIM3,ENSG00000256235,28.66885364,14.27505385
USP30-AS1,ENSG00000256262,14.94010683,17.82493497
HMBS,ENSG00000256269,27.65938697,19.41105206
ZNF225,ENSG00000256294,2.018933355,5.060468826
DND1,ENSG00000256453,1.514200016,2.341410949
POLG2,ENSG00000256525,15.44484017,26.28422614
TRAV1-2,ENSG00000256553,29.37548032,81.72279507
TRDV3,ENSG00000256590,12.01265346,9.365643797
ZBTB11-AS1,ENSG00000256628,7.268160078,10.57411396
ZNF253,ENSG00000256771,5.148280056,11.10281966
TMPO-AS1,ENSG00000257167,15.54578683,14.12399508
GATC,ENSG00000257218,26.85181362,36.78281072
ZBED6,ENSG00000257315,11.10413345,13.14211307
FNTB,ENSG00000257365,5.955853398,5.287056982
GALNT4,ENSG00000257594,10.29656011,13.14211307
OVCH1-AS1,ENSG00000257599,4.441653381,8.383761786
PSMA3-AS1,ENSG00000257621,44.11369381,84.29079418
LBX2-AS1,ENSG00000257702,1.312306681,2.945646033
INAFM1,ENSG00000257704,13.02212014,14.0484657
DDN-AS1,ENSG00000257913,2.119880023,1.66164648
CUX1,ENSG00000257923,17.46377352,23.11199195
TEN1,ENSG00000257949,36.23985372,23.48963888
CHURC1,ENSG00000258289,176.6566686,227.5700384
RTEL1,ENSG00000258366,6.157746733,6.797644692
PDF,ENSG00000258429,25.64045361,14.95481832
SPESP1,ENSG00000258484,1.615146684,0.83082324
LINC00239,ENSG00000258512,2.018933355,1.283999553
SYNJ2BP-COX16,ENSG00000258644,0.807573342,1.812705251
TRIM34,ENSG00000258659,8.98425343,14.12399508
LINC02328,ENSG00000258733,2.422720026,2.945646033
RNASE4,ENSG00000258818,2.523666694,2.567999106
LINC02321,ENSG00000258884,2.523666694,2.416940335
CEP95,ENSG00000258890,36.34080039,45.84633698
FOXN3-AS1,ENSG00000258920,6.662480072,3.32329296
TUBB3,ENSG00000258947,18.57418687,4.758351284
LINC00519,ENSG00000258955,1.514200016,0.075529385
TRAV30,ENSG00000259092,13.42590681,19.93975776
ZNF710-AS1,ENSG00000259291,0.605680007,3.776469273
INAFM2,ENSG00000259330,2.119880023,3.625410502
ST20-MTHFS,ENSG00000259332,12.61833347,14.42611262
TMC3-AS1,ENSG00000259343,1.312306681,0.453176313
THTPA,ENSG00000259431,12.11360013,13.29317184
CERNA1,ENSG00000259577,1.81704002,3.021175419
ST20-AS1,ENSG00000259642,6.258693401,4.1541162
IQCH-AS1,ENSG00000259673,2.321773358,5.740233295
CRTC3-AS1,ENSG00000259736,2.220826691,1.888234637
TGFBR3L,ENSG00000260001,2.927453365,2.643528491
HOXB7,ENSG00000260027,5.350173391,3.927528044
NORAD,ENSG00000260032,104.7826411,138.7474811
MIR762HG,ENSG00000260083,8.681413427,9.743290725
PMF1-BGLAP,ENSG00000260238,9.690880105,7.779526703
SNHG19,ENSG00000260260,9.589933437,6.948703463
SCX,ENSG00000260428,3.230293368,0.453176313
ATP2A1-AS1,ENSG00000260442,12.31549347,6.344468379
C16orf95,ENSG00000260456,6.561533404,6.193409608
FAM157C,ENSG00000260528,2.927453365,2.190352178
SNAI3-AS1,ENSG00000260630,2.523666694,2.643528491
SNTB2,ENSG00000260873,47.14209384,78.09738457
ADPGK-AS1,ENSG00000260898,2.018933355,2.416940335
LINC01311,ENSG00000260924,1.81704002,1.132940782
CAPN10-DT,ENSG00000260942,2.321773358,4.00305743
LINC01572,ENSG00000261008,12.11360013,6.873174077
SULT1A3,ENSG00000261052,2.220826691,3.776469273
LINC02256,ENSG00000261064,6.662480072,13.97293631
